Geographic area,2019
United States,"13,187"
Alabama,"10,077"
Alaska,"18,394"
Arizona,"8,625"
Arkansas,"10,388"
California,"14,035"
Colorado,"11,030"
Connecticut,"21,310"
Delaware,"16,315"
District of Columbia,"22,406"
Florida,"9,645"
Georgia,"11,228"
Hawaii,"16,132"
Idaho,"7,985"
Illinois,"16,227"
Indiana,"10,397"
Iowa,"11,907"
Kansas,"11,926"
Kentucky,"11,291"
Louisiana,"11,755"
Maine,"14,614"
Maryland,"15,148"
Massachusetts,"17,748"
Michigan,"12,756"
Minnesota,"13,387"
Mississippi,"9,284"
Missouri,"11,200"
Montana,"11,988"
Nebraska,"12,743"
Nevada,"9,344"
New Hampshire,"17,462"
New Jersey,"20,512"
New Mexico,"10,177"
New York,"25,139"
North Carolina,"9,857"
North Dakota,"14,004"
Ohio,"13,538"
Oklahoma,"9,323"
Oregon,"12,450"
Pennsylvania,"16,864"
Rhode Island,"16,750"
South Carolina,"11,140"
South Dakota,"10,139"
Tennessee,"9,868"
Texas,"9,827"
Utah,"8,014"
Vermont,"20,315"
Virginia,"12,641"
Washington,"14,223"
West Virginia,"12,010"
Wisconsin,"12,598"
Wyoming,"16,304"
